"Nama Mobil","Jenis ","Varian","Fitur Keselamatan ","Mesin ","harga (Rp)","","No","Kriteria","benefit/cost","","",""
"BMW X4","SUV","xDrive30i M Sport","Rear Cross Traffic Alert","2.0L 4 Cylinder 16 Valve","1.700.000.000","","C1","varian","benefit","","",""
"Land Cruiser","SUV","GR-S","Hill-Start Assist Control","3,3L V6 diesel","3.000.000.000","","C2","fitur keselamatan","benefit","","",""
"Wrangler","SUV","Rubicon","Downhill Assist Control","2.0L 4 Cylinder 16 Valve DOHC","1.599.000.000","","C3","mesin","benefit","","",""
"Range Rover","SUV","Range Rover 3.0 LWB","Brake Assist","3.0L 6 Cylinder 24 Valve(PHVE)","6.470.000.000","","C4","harga","cost ","","",""
"Cherokee","SUV","Limited ","Cruise Control","2.0L 4 Cylinder 16 valve DOHC","1.520.000.000","","","","","","",""
"E class 200","sedan ","Avantgarde Line","Vehicle Stability Control System","1.5L In-Line 4 Cylinder 16 Valve DOHC","1.320.000.000","","","","","","",""
"Defender","SUV","90 3.0 X-Dynamic SE (5 Seater)","Hill-Start Assist Control","3.0L  6 Cylinder 24 Valve DOHC","3,130.000.000","","Komponen ","Tingkat prioritas","Bobot","","",""
"S class ","sedan ","S 400 L Exclusive","Vehicle Stability Control System","3.0L V6","3.240.000.000","","jenis ","penting","7","","",""
"M4 ","coupe","Coupe Competition","Vehicle Stability Control System","3L 6-silinder","2.000.000.000","","varian ","cukup penting","5","","",""
"BMW seri 7","sedan ","735i M Sport ","Blind Spot monitor","3L 6-silinder","2,550,000,000","","fitur keselamatan ","sangat penting","8","","",""
"","Varian C1 ","","","Fitur (C2)","","","mesin ","cukup lebih penting","6","","",""
"","C1","Nilai","","C2","Nilai ","","Harga","mutlak penting ","9","","",""
"","S 400 L Exclusive","5","","Vehicle Stability Control System","5","","","","","","",""
"","Avantgarde Line","5","","Cruise Control","5","","","","","","",""
"","Limited","4","","Blind Spot monitor","4","","","","","","",""
"","GR-S","3","","Rear Cross Traffic Alert","3","","","","","","",""
"","xDrive30i M Sport","3","","Brake Assist","2","","","","","","",""
"","Rubicon","2","","Hill-Start Assist Control","1","","","","","","",""
"","Range Rover 3.0 LWB","2","","Downhill Assist Control","1","","","Tingkat Prioritas","Bobot","","",""
"","90 3.0 X-Dynamic SE (5 Seater)","1","","","","","","Mutlak Penting","9","","",""
"","735i M Sport ","1","","Mesin (3)","","","","Sangat Penting","8","","",""
"","Coupe Competition","1","","C3 ","Nilai ","","","Penting","7","","",""
"","Harga (C4)","","","3,3L V6 diesel","5","","","Cukup lebih penting","6","","",""
"","C3 ","Nilai","","3.0L 6 Cylinder 24 Valve(PHEV)","4","","","Cukup Penting","5","","",""
"","Rp. 4,470,000,000 - Rp. 6,470,000,000","1","","2.0L 4 Cylinder 16 Valve DOHC","3","","","Tidak Cukup Penting","4","","",""
"","Rp. 3,500,000,000 - Rp. 4,470,000,000","2","","1.5L In-Line 4 Cylinder 16 Valve DOHC","2","","","Tidak Penting","3","","",""
"","Rp. 3,000.000.000 - Rp. 3,500,000,000","3","","3.0L  6 Cylinder 24 Valve DOHC","1","","","Sangat Tidak Penting","2","","",""
"","Rp. 2.000,000,000 - Rp. 3,000,000,000","4","","2.0L 4 Cylinder 16 Valve","1","","","Mutlak tidak sangat penting","1","","",""
"","Rp. 1,320.000,000 - Rp. 2.000,000,000","5","","3.0L V6","1","","","","","","",""
"","","","","3L 6-silinder","1","","","Tingkat kepentingan ","Bobot","","",""
"","Column1","Column2","","Column1","Column2","","","Sangat baik","5","","",""
"","W1 =","0.2","","S1","1.7708819351019","","","Baik","4","","",""
"","W2 =","0.14285714285714","","S2","2.1726063195778","","","Cukup ","3","","",""
"","W3 = ","0.22857142857143","","S3","1.3328967228917","","","Buruk","2","","",""
"","W4 =","0.17142857142857","","S4","1.6269331732558","","","Sangat buruk","1","","",""
"","","","","S5","1.1261730808924","","","","","","",""
"","","","","S6","2.231974057105","","","Column1","Column2","","",""
"","","","","S7","1.5038913661025","","","V1","0.10815621577712","","",""
"","","","","S8","2.0047354545802","","","V2","0.13269144217989","","",""
"","","","","S9","2.4176134042656","","","V3","0.081406367478357","","",""
"","","","","S10","1.5185630248563","","","V4","0.099364577532654","","",""
"","","","","","","","","V5","0.06878076755149","","",""
"","Alternatif","Kriteria","","","","","","V6","0.13631731339294","","",""
"","","C1","C2","C3","C4","","","V7","0.091849826842445","","",""
"","A1","2","3","1","5","","","V8","0.12243876686739","","",""
"","A2","3","1","5","3","","","V9","0.14765519475603","","",""
"","A3","2","1","3","5","","","V10","0.092745895100037","","",""
"","A4","5","2","4","1","","","Tertinggi","0.14765519475603","","",""
"","A5","2","5","3","5","","","","","","",""
"","A6","2","5","2","5","","","","","","",""
"","A7","3","1","1","3","","","","","","",""
"","A8","4","5","1","3","","","","","","",""
"","A9","4","5","1","4","","","","","","",""
"","A10","3","4","1","4","","","","","","",""
